TIPO_VIA;NOMBRE_VIA;NUMERO;RESTO;texto;entidades
PLAZA;DE LOS NAVARROS;n*47;5B;PLAZA DE LOS NAVARROS n*47 5B;('PLAZA DE LOS NAVARROS n*47 5B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 21, 'NOMBRE_VIA'), (22, 26, 'NUMERO'), (27, 29, 'RESTO')]})
CALLE;DEL LAGO COMO;41;7DCHA;CALLE DEL LAGO COMO 41 7DCHA;('CALLE DEL LAGO COMO 41 7DCHA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 19, 'NOMBRE_VIA'), (20, 22, 'NUMERO'), (23, 28, 'RESTO')]})
CALLE;DE LA ALQUIMIA;nº24;8*IZDA;CALLE DE LA ALQUIMIA nº24 8*IZDA;('CALLE DE LA ALQUIMIA nº24 8*IZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 32, 'RESTO')]})
CALLE;DE AZCONA;nº28;4ºIZDA;CALLE DE AZCONA nº28 4ºIZDA;('CALLE DE AZCONA nº28 4ºIZDA', {'entities': [(0, 5, 'TIPO_VIA'), (6, 15, 'NOMBRE_VIA'), (16, 20, 'NUMERO'), (21, 27, 'RESTO')]})
CALLE;DE CIDAMON;n*13,;8*D;CALLE DE CIDAMON n*13, 8*D;('CALLE DE CIDAMON n*13, 8*D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 16, 'NOMBRE_VIA'), (17, 22, 'NUMERO'), (23, 26, 'RESTO')]})
CALLE;DE LA ISLA DE TAGOMAGO;n*5;6 D;CALLE DE LA ISLA DE TAGOMAGO n*5 6 D;('CALLE DE LA ISLA DE TAGOMAGO n*5 6 D', {'entities': [(0, 5, 'TIPO_VIA'), (6, 28, 'NOMBRE_VIA'), (29, 32, 'NUMERO'), (33, 36, 'RESTO')]})
PLAZA;DE LA TECNOLOGIA;nº8;10A;PLAZA DE LA TECNOLOGIA nº8 10A;('PLAZA DE LA TECNOLOGIA nº8 10A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 22, 'NOMBRE_VIA'), (23, 26, 'NUMERO'), (27, 30, 'RESTO')]})
CALLE;DE LA SALVIA;nr39;2-B;CALLE DE LA SALVIA nr39 2-B;('CALLE DE LA SALVIA nr39 2-B', {'entities': [(0, 5, 'TIPO_VIA'), (6, 18, 'NOMBRE_VIA'), (19, 23, 'NUMERO'), (24, 27, 'RESTO')]})
CALLE;DE MONTPELLIER;nº34;2-A;CALLE DE MONTPELLIER nº34 2-A;('CALLE DE MONTPELLIER nº34 2-A', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 29, 'RESTO')]})
CALLE;DE JOSE BASTOS;n*19;8*C;CALLE DE JOSE BASTOS n*19 8*C;('CALLE DE JOSE BASTOS n*19 8*C', {'entities': [(0, 5, 'TIPO_VIA'), (6, 20, 'NOMBRE_VIA'), (21, 25, 'NUMERO'), (26, 29, 'RESTO')]})
